标题,关键字
基于深度学习的矿井瓦斯多因素预警系统的设计与实现,"['煤矿安全', '瓦斯浓度预测', '长短期记忆网络', '门控循环单元', '预警系统']"
视频处理平台的设计与实现,"['分布式爬虫', 'Vue.js+Django', '视频处理', '用户交互']"
自动化测试平台的设计与实现,"['自动化测试平台', '关键字驱动', 'Djaogo框架']"
智能托盘定位系统设计与实现,"['GPS定位', '基站定位', 'django', 'stm32单片机', '聚类优化']"
基于特征选择与机器学习的列车晚点预测方法研究,"['晚点预测', '机器学习', '特征选择', '列车晚点因素', 'XGBoost']"
基于Django的斗地主游戏平台设计与实现,"['贪婪选择出牌算法', '权重选择出牌算法', 'WEB系统', 'Django', 'Django Channels']"
基于Django框架的企业人力资源管理系统的设计与实现,"['人力资源', '管理系统', 'Web开发', 'B/S架构']"
基于Web的安全电子投票系统,"['Helios', '电子投票', '基于mix-net', 'ElGamal加密', '椭圆曲线密码', '零知识证明']"
基于相似度组合的主观题评分系统研究,"['相似度组合', 'Word2vec', 'Doc2vec', 'Python语言', '主观题自动评分系统']"
储粮害虫智能监测信息管理平台的设计与实现,"['储粮害虫', '信息管理平台', '数据分析', '虫情报警']"
面向中文医疗知识图谱的实体对齐方法研究及应用,"['知识图谱', '实体对齐', '图神经网络', '图卷积网络', '联合实体对齐模型']"
基于神经网络的轨道交通驾驶员的疲劳驾驶检测系统研究,"['疲劳驾驶检测', '行为识别', '人脸信息检测', '系统构建']"
基于测试用例集优化和性能优化的测试服务平台的设计与实现,"['自动化测试', '测试用例生成', '遗传算法', '敏捷开发', '调度平台']"
基于机器视觉的跌倒检测报警系统的设计与实现,"['跌倒检测', 'OpenPose', '随机森林', 'PyQt', 'Django']"
招聘网站数据可视化分析平台的设计与实现,"['网络爬虫', '招聘信息', '数据分析', '可视化平台', 'ECharts']"
基于机器学习的网络安全态势感知系统设计与实现,"['网络安全态势感知', 'OSSIM', 'BP', '灰色马尔科夫模型']"
基于XGBoost算法的信用评级系统设计与实现,"['信用评分', 'SMOTE', 'XGBoost算法', '不平衡数据集']"
基于用户兴趣的微博广告推荐系统设计与实现,"['信息过载', '用户兴趣', 'LDA主题模型', '协同过滤', '个性化推荐']"
WebGlusterFS集群管理系统与能耗感知存储分配算法,"['GlusterFS', '异构存储分配', 'Xlator', '无人值守自动部署', '能耗优化']"
乳腺癌影像基因组数据库设计与实现,"['乳腺癌', '影像基因组学', '数据库', '可视化', '预后估计']"
农业统计数据关联挖掘与可视化研究,"['农业统计数据', '网络爬虫', '可视化技术', '数据挖掘']"
面向文本的实体关系提取方法的研究与实现,"['实体关系提取', '端到端模型', 'bert', '三元组']"
基于注意力的深度协同在线学习资源推荐系统研究与实现,"['在线学习', '推荐系统', '注意力机制', '协同过滤', '矩阵分解', '深度学习']"
西南师范大学出版社在线课程平台的设计与开发,"['在线课程平台', '数字融合出版系统', 'MTV', 'Django']"
基于深度学习的目标检测人工智能算法研究,"['深度学习', '目标检测', '模型压缩', 'EfficientNet', 'MobileNet']"
网络招聘数据可视化分析系统的设计与实现,"['网络爬虫', '数据分析', 'k-means聚类', 'TextRank算法', 'Apriori算法']"
Scratch教学平台教师端管理系统的设计与实现,"['互联网技术', '编程教育', 'Scratch', '管理系统', '竞赛']"
面向企业信用评价的数据获取子系统的设计与实现,"['企业信用评价', '数据获取', '全文索引与全文检索', '垂直搜索引擎']"
基于机器学习的Java静态漏洞扫描系统的设计与实现,"['静态代码分析', '污点分析', '程序切片', 'BLSTM']"
基于Django框架的LED显示屏集中管理平台的设计与实现,"['LED显示屏', 'Django框架', '消息中间件', '分布式数据库中间件']"
基于机器学习的传染病预警系统的研究与实现,"['传染病', '机器学习', '预警系统', 'PCA', 'GRU']"
司法文本数据自动化生成系统的设计与实现,"['数据生成', '自然语言处理', '变分编码器', '对抗攻击', 'Hadoop']"
地震应急消息系统的设计与实现,"['消息中间件', '地震应急', 'Django', '百度地图API']"
基于多元测试用例的神经网络模糊测试系统的设计与实现,"['神经网络测试', '模糊测试', '变异测试', '测试用例生成']"
饲料安全追溯系统的设计研究,"['物联网', '饲料安全', 'RFID', 'Django', '流程追溯']"
个性化电影推荐系统的研究与实现,"['电影推荐系统', '个性化推荐', '权重系数', '推荐算法', '皮尔逊相似度', '协同过滤']"
英汉维多引擎机器翻译系统的设计与实现,"['神经网络', '机器翻译', '文本聚类', '音节', '多引擎']"
含无人驾驶汽车的交通出行选择行为实验平台设计与实现,"['实验平台', '无人驾驶汽车', 'Django框架', '交通出行选择行为']"
浅谈大数据技术在环境监测中的应用分析,"['大数据技术', '环境监测', '使用分析']"
基于Django开发文件管理系统的简易设计,"['Django', '文件管理系统']"
中文政治隐喻自动识别系统的设计与实现,"['系统设计', '隐喻自动识别', '数据可视化']"
基于深度学习的对话行为分类研究与实现,"['对话行为分类', '对话系统', '联合学习', '槽位填充', '图卷积神经网络']"
校园安全态势感知与自动报警系统设计与实现,"['智慧校园安全', '态势感知', 'DIKW graphs', '自动报警', '边缘计算']"
伊犁马营养配方推荐系统的研究与设计,"['伊犁马', '马营养配方模型', '目标规划', '系统', 'Django框架']"
基于Django开发框架的在线教育系统设计与实现,"['在线教育', 'Django开发框架', '个性化推荐', 'Slope One推荐算法']"
智能车站票务系统的实时计算分析系统设计与实现,"['反刷票', 'Scikit-learn', '实时计算', 'K均值算法', '决策树']"
基于WIFI CSI信息的室内入侵检测系统的设计与实现,"['信道状态信息', '入侵检测', '低通滤波', '梯度提升决策树']"
基于Alexa的智能音箱研究与应用,"['语音识别', '智能音箱', 'Alexa', 'Django', '协同过滤']"
基于深度学习的唐卡图像修复系统的研究与实现,"['唐卡图像修复系统', '生成式对抗网络', 'U-Net', '空洞卷积']"
基于数据结构的知识图谱构建及其可视化应用的研究,"['知识图谱', '知识迷航', '数据结构', '可视化技术']"
基于教案习题视频三循环交互的在线学习平台设计,"['在线学习', '混合学习', 'DJANGO', '教学反馈']"
基于Django框架的备课资源推荐系统的设计与实现,"['推荐系统', '标签', '关联规则', 'Django框架', '爬虫']"
面向智慧家庭的环境舒适度调节软件的研究与设计,"['智慧家庭', '舒适度', 'PMV', 'BP神经网络', 'Django']"
纺织企业智能生产管理系统的设计与实现,"['纺织业', '智能管理', '系统设计']"
基于Django的2D3D图像转换系统的设计与实现,"['2D-3D', '深度信息', 'Django']"
大数据视阙下大宗中药材种植可视化研究,"['大宗中药材', '种植', '数据可视化']"
基于kmeans算法的云看护大健康服务平台的搭建与实现,"['健康管理平台', 'django框架', 'k-means聚类算法', '随机森林']"
基于MQTT的铁路巡检管理系统的设计与实现,"['铁路巡检', '智能派单', 'MQTT协议', 'django架构系统']"
海量网络媒体信息采集及处理平台设计实现,"['社交网络', '账号模拟', '数据采集', '任务调度', '系统设计']"
策略设计模式在实验耗材Web系统中的应用,"['策略设计模式', '实验耗材管理', 'Django框架']"
基于用户行为的视频内容质量评价和推荐算法研究,"['用户行为', '神经网络', '模糊综合评价法', '视频内容质量评价', '视频推荐']"
面向司法数据质量的模型评估系统的设计与实现,"['裁判文书', '数据质量', '模型评估']"
基于生成对抗网络的遮挡目标识别,"['生成对抗网络', '遮挡图像识别', '挤压激励块', '自注意力机制', '图像修复']"
基于动车组看图识配件系列出版物的教学软件设计,"['动车组', '软件编程', '机车检修', '数字出版', '移动学习', '安卓']"
基于Django的海洋环境数据管理系统,"['Django框架', '声学分析', '海洋环境数据库']"
在线测评与推荐系统的设计与实现,"['推荐系统', '隐语义模型', 'K-means聚类算法', '个性化学习', '在线测评']"
基于seq2seq框架的代码注释生成方法研究,"['代码注释', '指针网络', '抽象语法树', 'Tree-LSTM', 'BiTree-LSTM']"
基于机器学习的某商业银行客户画像模型研究,"['客户画像', '数据类别不平衡', '生成对抗网络', '集成学习', '高维数据']"
一种数字化教学资源的叛逆者追踪系统设计与实现,"['数字版权保护', '叛逆者追踪', '非对称数字指纹', '共识监督', '追踪协议']"
基于商务智能的医院药品库存优化系统,"['商务智能', '库存管理', '库存优化', '药品管理']"
基于机器学习的安卓恶意应用检测分析系统研究与设计,"['安卓', '机器学习', '恶意应用检测', '恶意家族', '关联分析']"
基于云服务的三维齿面偏差评定,"['渐开线斜齿轮', '三维齿面测量', '三维齿面偏差评定', '云服务']"
融合多模态数据的下肢运动能力评价方法与评价系统研究,"['下肢运动能力评价', '卷积神经网络', '循环神经网络', '特征提取', '评价系统']"
作者论视域下的昆汀塔伦蒂诺电影研究,"['昆汀·塔伦蒂诺', '作者论', '作者电影', '主题意蕴', '作者标签']"
基于深度卷积神经网络的金属板带材表面缺陷检测研究与应用,"['金属板带材', '表面缺陷检测', 'DCNN', '目标检测', '迁移学习']"
基于WEB和Android技术的面瘫识别平台的设计和实现,"['B/S架构', 'Django框架', '面瘫识别', '患者社区']"
基于注意力的故障预测与雷达健康管理系统的研究与实现,"['故障预测', '雷达健康管理系统', '注意力机制', '长短期记忆网络']"
基于数字图像处理的违章建筑物自动检测研究,"['违章建筑物', '数字图像处理', '自动检测', '全卷积网络', '无人机']"
基于卷积神经网络的草莓病虫害识别与应用,"['卷积神经网络', '草莓病虫害识别', '注意力机制', '中心损失函数']"
舰船电磁环境数据库的设计与实现,"['舰船', '电磁环境', '数据库', 'Django']"
保险推荐系统算法研究,"['保险', '推荐算法', 'Django']"
数字人文范式框架与绘画文物AI智能研究,"['数字人文范式', '绘画图像分析', 'AI风格创作', '笔触控制']"
基于Django的运维管理系统设计,"['运维管理', 'Django框架', 'MVC']"
基于Python和Django实现城域网流量统计监控系统,"['Python', 'Django', '城域网', '端口', '流量', '监控']"
基于Django的蒙汉英对照词库查询系统设计与实现,"['Django框架', 'Web服务器', 'MySQL数据库']"
人工智能时代背景下的高等院校智能教学系统开发研究,"['高等院校', '智能教学系统', '开发研究']"
基于系统调用的交互式入侵检测系统设计与实现,"['入侵检测', '系统调用', 'N-gram模型', 'TF-IDF算法']"
硬件电路HDL设计模块的网络化测试,"['HDL电路', '网络化', 'Python']"
基于MTV模式的远程教学系统设计与实现,"['远程教学', 'Python', 'MTV模式', '数据流图']"
基于Python语言的智能家居系统的设计,"['Python语言', '智能家居系统', 'Django框架']"
亲缘关系预测系统设计与实现,"['法医遗传学', '亲缘关系预测', '亲缘关系预测系统', '物证鉴定']"
IT自动化运维平台设计与实现,"['自动化运维', 'Django框架', 'Python语言', 'B/S架构', 'MVT模式']"
西北道地药材数据库的建立与应用,"['道地药材', '代谢组学', '质谱', '数据库', '批量检索']"
爆炸残留物分析系统设计,"['Web', '前端', '后端', '数据库', '电路板残片识别']"
基于谷歌云的Kubernetes工时管理系统的设计与实现,"['工时管理', '云计算', 'Docker', 'Kubernetes', 'Google Cloud SQL']"
基于微信小程序的云看护健康管理系统的设计与实现,"['微信小程序', '健康管理', 'Django框架', 'mysql数据库']"
基于Django的信号灯监测系统设计,"['交通信号灯', 'Django']"
基于Django框架的安全监控平台设计与实现,"['Django框架', '安全监控', '人脸识别', '短信通知', '系统告警', '平台设计']"
地震与台风信息采集WEB应用,"['Django', '地震', '台风', 'python']"
基于云计算的人工智能学习平台设计与实现,"['云计算', '人工智能', 'Docker', 'NFS']"
Vuejs与Django组合框架的网络社交系统单页面架构方案设计,"['网络社交平台', '架构方案', 'SPA', 'Vue.js', 'Django']"
基于Django的干果超市信息管理系统,"['干果超市', '信息管理', 'Django', '电子秤', 'Ardunio', '压力传感器']"
词频分析平台的实现与算法应用,"['词频分析', 'Python语言', 'TF-IDF算法']"
ORM在Django操作数据库中的应用,"['ORM模型', '数据库操作', 'Django框架']"
程序设计竞赛实验室社区设计与实现,"['网页开发', '程序设计竞赛', '社区平台', '竞赛训练']"
基于数据库的员工考勤系统设计与实现,"['考勤', '关系模式', 'MySQL数据库', 'JavaWeb', 'Python', 'Django', 'Bootstrap']"
基于Django的城市通勤出发时间选择实验平台设计,"['Django', '城市交通', '通勤出发时间选择', '微信小程序']"
改进的Simhash算法在文本查重中的研究及应用,"['Simhash', 'TF-IDF', '相似度计算', 'Django']"
多功能密码子分析优化平台的构建及应用研究,"['密码子', '密码子对', '密码子偏好性', '密码子优化', 'Django']"
食品安全网络舆情分析系统设计与实现,"['食品安全', '网络舆情', '情感分析', 'GRU网络', 'Django']"
数据驱动实地配时方案估计及系统开发,"['数据驱动', '双时域图', '配时方案估计', '系统开发']"
基于BS架构的集群指挥调度系统的设计与实现,"['B/S架构', 'ActiveX控件', '集群', '回音消除']"
基于kubernetes的视频处理软件系统设计和开发,"['kubernetes', 'Pod', 'Docker', '重调度器', 'Django', '视频处理软件系统']"
基于云平台的机器人监控系统设计,"['阿里云', 'OPC UA', 'MQTT', 'django', 'WEB远程监控']"
基于Django的高校职工信息采集系统设计与快速实现,"['Django', '高校职工', '信息采集系统']"
基于Django的Python Web开发,"['Django', 'Python Web', '学生管理系统']"
Django框架下Python网站开发过程综述,"['Django', 'Python', '网站开发']"
面向工业生产的大数据管理与可视化系统设计,"['web可视化', '实时交互', 'B/S架构', '深度学习']"
纸页干燥过程运行数据可视化平台设计,"['纸页干燥', '能量优化', '造纸机']"
基于Web的Python编程环境分析,"['Web', 'Python', '编程环境', '分析']"
水利工程数字化模型管理平台设计与实现,"['BIM系统', '水利工程', '工程数字化']"
基于Python语言的Web数据挖掘与分析研究,"['Python语言', 'Web数据', '挖掘与分析']"
弓长岭露天矿空区稳定性监测数据云平台的研究与实现,"['云平台', '采空区', '监测数据', '变形预测', '可视化']"
基于深度学习的代码生成技术研究,"['代码生成', '深度学习', 'Transformer', '生成准确率', 'BLEU']"
基于Web平台的购物网站的设计与实现,"['购物', 'vue框架', '电商网站', '功能测试']"
基于Django的知识问答平台的设计与实现,"['知识问答平台', 'Web开发', 'Django', 'MTV模式']"
面向无人零售的支付系统设计与实现,"['移动支付', '无人零售', '二维码支付', '支付安全']"
基于分层架构的在线代码测评系统的设计与实现,"['在线测评', '代码执行', '内核优化', '分层架构']"
基于互联网新闻洪涝灾害热点挖掘系统的设计与实现,"['地理检测', '洪涝热点识别', '互联网媒体', '数据挖掘', '地理信息检索']"
基于文本相似度的个人笔记管理系统的设计与实现,"['个人笔记管理', 'Markdown', '文本相似度', '网页应用', '前后端分离']"
W2R电商系统的设计与实现,"['Django框架', '电子商务', '批发商', '生鲜']"
基于Django框架的智慧消防系统设计与实现,"['智慧消防', 'YOLO-V3', '智能传感', '数据交换', '智能侦测', '数字化']"
模拟射击训练弹着点检测定位技术研究,"['模拟训练', '树莓派', 'Unity3D', 'DRF框架', '弹着点检测']"
基于深度学习的农作物病害识别方法,"['农作物病害识别', 'ResNet网络', '迁移学习', 'inceptionv3网络', '测试服务器']"
基于Python的Web开发框架研究,"['Python框架', 'Web开发框架', '基础设施层']"
特定百度贴吧热帖采集系统设计与实现,"['Python', '爬虫', '贴吧', '热帖']"
函数自动描述系统的设计与实现,"['信息检索', '函数', 'Django', 'GitHub']"
面向云服务平台的运维管理系统研发及应用,"['云服务平台', '运维管理系统', 'Django', '持续集成']"
浪漫潮咖  标致摩托Django150,['nan']
基于朴素贝叶斯分类器的嵌入式软件编译测试系统的研究和实现,"['朴素贝叶斯分类', '嵌入式', '软件编译', 'STAF']"
基于DNN生成商品外观设计图的Web应用的设计与实现,"['深度神经网络', '卷积神经网络', '生成对抗网络', 'Django']"
基于深度学习的卫星图像识别分类方法,"['卫星图像', '深度学习', '卷积神经网络', '图像识别', '除雾算法']"
基于LBS的学生课堂签到系统开发,"['LBS', '签到', '地理定位', 'Python', 'Django']"
社交网络环境下信任模型的研究与应用,"['社交网络', '信任模型', '网络嵌入', '信任预测']"
基于Django的天气雷达测试定标自动化系统设计,"['Django架构', '天气雷达', '测试定标', '自动化']"
基于Python的高速公路大雾预报预警系统建设,"['Python', '高速公路', '大雾', '预警']"
基于Python27的Django项目在CentOS7系统下的部署,"['Python', 'Django', 'CentOS7环境部署']"
基于Django的金属在线硬度检测系统的设计与实现,"['硬度检测', '巴克豪森噪声', 'Django']"
互联网金融数据自动抓取和优化筛选框架设计与研究,['nan']
基于计算机技术的图书馆信息系统的设计与实现,"['JAVA', '数据库', '图书馆', '信息管理系统']"
基于局域控制的软件定义无线传感网路由技术研究,"['无线传感网', '网络拓扑', '路由机制', '网络能耗']"
基于Django的宠物信息交流管理系统设计,"['宠物信息', 'Django', 'B/S']"
基于Django的留学生信息管理系统设计与实现,"['Django', 'Python', '留学生管理系统', 'B/S架构', 'MVT']"
论新时期奥斯卡种族系列影片的身份认同,"['种族电影', '身份认同', '后殖民理论']"
基于Django框架的在线视频学习系统设计与实现,"['在线教育', 'Django框架', '视频点播']"
基于BS架构的高并发虹膜识别系统,"['虹膜识别', '网站登录', '云计算', '高并发性', 'Django框架', '并行搜索']"
高并发汉英信息抽取系统的设计与实现,"['大数据', '高并发', '信息抽取', 'TextRank', 'uWSGI', 'Nginx', 'Django']"
基于Django实现四方博客,"['Python', 'Django', '博客', '系统', '爬虫']"
学生信息管理系统研究,"['Django', '数据库', '信息管理', 'Python']"
基于语音信号识别技术的智能发音练习系统,"['混合高斯', '隐马尔科夫链', 'Viterbi', '智能发音练习系统', 'MVC']"
教育行业IPv6资源共享与监测的平台设计,['nan']
基于Django的高校人才引进系统设计与实现,"['Python', 'Django框架', 'Web系统', '人才引进']"
会议记录系统的框架设计与人脸识别技术在系统中的实现,"['人脸识别', '会议记录系统', '多任务级联', 'landmask', 'dlib', '说话人识别']"
基于Django的短视频分享网站的设计与实现,"['UGC短视频', 'Python', 'Django', '推荐算法']"
基于云平台的文件管理及加密系统的研究与实现,"['文件加密', 'web应用', 'python语言', '云储存']"
面向云服务的web服务器负载均衡设计与实现,"['云服务', 'Nginx', 'web服务器集群', '自适应动态负载均衡']"
面向中职信息技术教师的Python程序开发项目课程开发与实施,"['中职教师', '信息技术', 'Python程序开发', '项目课程', '课程开发']"
多场景环境监测系统的设计与实现,"['Django', 'GPRS', 'OneNet', '环境监测']"
轻量级网页漏洞扫描工具的设计与实现,"['漏洞扫描', '模糊测试', 'MYSQL', 'Djang']"
Django实现ORM模型数据查询优化,"['ORM模型', '查询优化', '视图函数', 'URL映射']"
基于LSTM循环神经网络算法的人体运动识别信息处理系统的研究设计与实现,"['体育可穿戴智能设备', 'LSTM循环神经网络', '深度学习', '人体运动识别信息处理系统']"
基于生成式对抗网络虚拟试装技术研究,"['虚拟试装系统', '生成式对抗网络', 'VGGNet', 'ResNet', 'Django框架']"
基于本体的领域问答系统研究,"['高考', '招生咨询', '问答系统', '领域本体', '句法分析', 'SPARQL查询']"
基于Bootstrap的地震信息轮播实现,"['Bootstrap', '地震信息', '轮播']"
基于元算法Django架构下社团推荐系统的设计,"['Django', '聚类', 'KNN算法', '社团推荐']"
基于Django的阜新市林木种质资源信息服务平台的研建,"['Django', '林木种质资源', '服务平台']"
基于物联网的虫情监测系统,"['害虫识别', '物联网', '虫情监测', '深度学习']"
面向协同知识建构的网络微格教学平台的设计与实现,"['微格教学', '协同知识建构', '教学平台', 'django', 'python']"
基于区块链的电子病历存证系统的设计与实现,"['电子病历', '区块链', '医疗数据', '隐私保护']"
基于随机森林算法建模的糖尿病预警系统设计与实现,"['糖尿病', 'Python', '随机森林', 'Django', 'MySQL']"
面向在线学习的个性化教学系统的设计与实现,"['个性化教学', '混合式教学', 'Django', '在线学习']"
大数据杀熟及其对抗技术研究,"['大数据', '用户行为偏好', '用户画像', 'Django框架', '随机浏览', '模拟订单']"
面向短文本问句的命名实体识别及实体链接方法研究,"['命名实体识别', '实体链接', 'Freebase', '知识库', '短文本问句']"
基于深度学习心电诊断系统的研究与实现,"['心电图', '循环神经网络', '长短期记忆单元', '生成对抗网络', 'Restful']"
基于多维度特征的饮食干预方法研究,"['饮食干预', '用户画像', '中医体质', '饮食行为']"
基于Django的软件测评实验室业务信息管理系统设计与实现,"['UML', 'Django', '软件测评', '业务信息管理系统']"
大数据环境下基于差分隐私的数据发布及算法评估系统,"['Spark框架', 'Django', '差分隐私保护', '数据发布', '算法评估']"
面向医疗化验单数据的智能识别系统研究与实现,"['文字识别', '医疗化验单识别', '不确定性', '深度学习', '计算机视觉']"
基于微信公众号的汉语教学管理系统,"['教学管理系统', '微信开发', 'Vue.js', 'Tornado', 'Django']"
Python语言在医院信息化中的应用研究,"['Python', 'Caché数据库', 'Django', '机器学习', '临床决策支持系统']"
烟叶生产管理信息平台设计与实现,"['烟叶', '生产管理', '信息化', 'B/S模式']"
基于微信的农产品市场信息订阅系统设计,"['Python爬虫', '数据采集', '数据可视化', '微信公众平台']"
基于4G网络和CAN总线的车辆在线故障诊断系统设计与实现,"['CAN总线', '32960协议', '在线故障诊断', '服务器']"
基于物联网的电梯监测平台的设计与实现,"['物联网', '电梯监测', '故障预测', '长短期记忆网络']"
基于Django的翻译协作和共享平台的设计与实现,"['Django', 'Python', '协作翻译模式', 'Web开发', '众包模式']"
中小企业借贷信用分析系统的设计与实现,"['中小企业', '信用评分', 'XGBoost', 'Scrapy框架']"
基于数据驱动的企业营销服务系统的设计与实现,"['数据分析', '呼叫中心', 'Django框架']"
基于ElasticSearch面向M00C的垂直搜索引擎设计与实现,"['垂直搜索', 'ElasticSearch', 'Scrapy 爬虫', 'MOOC', 'Django']"
基于Django框架的Web在线教育平台的设计与实现,"['MOOC', '在线教育', 'Django', 'MTV', '精准推荐']"
基于IPv6协议下的西瓜溯源系统的设计与实现,"['西瓜', '二维码', '溯源系统', 'Python', 'IPv6']"
毛果杨基因数据库搭建以及可视化平台的实现,"['毛果杨', '基因数据', '数据库', 'Django', '可视化', '基因浏览器']"
基于出租车轨迹数据的目标车辆轨迹恢复算法研究,"['深度学习', '编码器解码器模型', '注意力机制', '轨迹恢复']"
基于Docker的医学数据可视化及分析平台,"['容器技术', '三维可视化', '结构化报告', '医学数据检索']"
面向营养学文本的知识挖掘及饮食推荐技术研究与实现,"['知识图谱', '实体抽取', 'LSTM', '随机森林', '饮食推荐']"
基于学习网络表征的推荐系统实现及应用,"['推荐系统', '协同过滤', '网络表征学习', '大数据', '实时性', '技术增强学习']"
漏洞与威胁闭环管理系统的设计与实现,"['漏洞管理', '威胁', '信息安全', '自动化', '闭环']"
基于REST架构的企业安全平台日志报表子系统的设计与实现,"['企业安全平台', '日志报表', 'REST架构', 'Flume']"
基于深度学习的多实体关系识别及自动文本摘要方法研究与实现,"['实体关系识别', '自动文本摘要', '多标签技术', '累积注意力机制']"
基于深度学习的遥感图像处理系统的设计与实现,"['深度学习', '遥感图像', '目标识别分割', '卷积神经网络']"
农业云平台下基于环境的蔬菜生长周期预测模型的研究与应用,"['蔬菜预测', '有效累积温光法', 'Django', '数据可视化', '信息管理']"
基于Django的测试工具平台的设计与实现,"['测试平台', '接口自动化测试', 'Django框架']"
基于ElasticSearch的搜索引擎设计与实现,"['搜索引擎', 'Scrapy', 'ElasticSearch']"
基于数据挖掘技术的用户异常用电检测系统的研究与实现,"['异常用电检测', '特征构造', '主成分分析', '数据挖掘']"
在线照片打印平台的研究与实现,"['在线照片打印平台', '照片预定', '智能平台', '图像处理']"
一种企业画像系统的设计与实现,"['企业画像', '标签提取', '数据挖掘', '短文本分类', '关键词提取']"
基于行为模式的入侵检测系统的优化,"['入侵检测', '关联分析', '网络安全', '聚类']"
基于深度学习的英语语法纠错系统的设计与实现,"['语法纠错', '深度学习', 'N元语法']"
人工智能专业教学与实验系统的研究与实现,"['人工智能', '教学与实验', '调度算法', 'Docker', 'Jupyter']"
基于深度学习的无线信号的识别技术研究,"['信号识别', '深度学习', '模式识别', '卷积神经网络']"
基于用户描述的相似软件项目推荐系统的设计与实现,"['推荐系统', '神经网络', '支持向量机', '倒排索引', '相似性算法']"
高校毕业生去向信息管理及推荐系统的研究与设计,"['毕业生信息管理', '推荐系统', '基于经验公式的相似度计算', 'K-Means++', 'Adaboost集成']"
基于XGBoost和LSTM的智能监控系统的设计与实现,"['异常检测', '趋势预测', '智能监控系统', 'XGBoost', 'LSTM']"
面向网易游戏工作室服务器集群的日志收集工具设计与实现,"['服务器', '日志', '收集', '预处理', 'MongoDB']"
云数据采集系统中管理子系统的设计与实现,"['云计算', '网络爬虫', '负载评估', '动态调度']"
基于LSTM网络的政策挖掘研究与应用,"['政策挖掘', '政策量化', '深度学习', 'LSTM', '相似度计算']"
基于Web的低压电器试验设备远程监控系统设计与实现,"['低压电器试验', '远程监控', 'LabVIEW', 'Python', 'Django']"
Java在线实验系统的设计与开发,"['在线实验', 'Java', '实验教学', 'Django', '自动化']"
基于深度学习的绘画艺术风格渲染系统的设计与实现,"['艺术风格', '深度学习', '卷积神经网络', '风格迁移']"
基于中红外光谱技术的鱼类过敏原小清蛋白的快速鉴别与定量检测,"['红外光谱', '小清蛋白', '过敏原', '神经网络', '数据库']"
基于云计算的网络靶场资源调度与优化,"['云计算', '网络靶场', '负载均衡', '虚拟机部署', '虚拟机动态迁移', 'OpenStack']"
新型药物临床信息管理系统的设计与实现,"['药物试验', '临床信息', '患者管理', 'Django']"
面向DPI数据的旅游画像系统的研究与实现,"['DPI流量', '旅游用户', '用户画像系统', '游客身份识别']"
基于Celery和Django的分布式自动化测试系统设计,"['自动化测试', '分布式', 'Celery', 'Django']"
出租车载客热点推荐方法研究及系统实现,"['轨迹数据', '热点区域挖掘', '热点区域推荐', '密度聚类算法']"
基于深度学习的声弛豫气体探测方法研究,"['气体检测', '深度学习', '平均影响值', '声弛豫气体探测']"
基于自动文摘的辅助文档撰写系统研究与实现,"['自动文摘', '生成式自动文摘', '深度学习', '辅助写作']"
基于MQTT协议的重组竹生产监控管理系统的设计与实现,"['重组竹', 'MQTT协议', '监控管理', 'MQTT代理服务器', 'Web服务器']"
无人售货机订单服务模块的设计与实现,"['无人售货机', '物联网平台', '订单服务', 'Django']"
基于Xgboost算法的公共自行车调度系统设计与实现,"['公共自行车', '车辆调度', '站点簇', 'Xgboost算法']"
基于深度学习的多语种自动摘要系统的研究与实现,"['跨语言自动摘要', '生成式摘要', '深度学习', 'Seq2Seq模型']"
智能工厂关键技术应用  第八讲  智能工厂的Python编程应用,"['智能工厂', 'Python编程', '视图构建', '软件移植']"
面向智慧出行的铁路数据可视化方法研究与实现,"['铁路客运', '可视化', '螺旋图边绑定', '热图日历', '树图']"
基于Django的中文关键词提取系统的设计与实现,"['python', 'Django', '多线程', 'uWSGI', 'Nginx']"
SLR系统基于QGS的半自动化检索模块的设计和实现,"['系统化评价', 'QGS', '信息检索', '主题网络爬虫']"
基于开源平台的蓄电池辅助测控系统设计,"['蓄电池室', '数据采集', '开源硬件', '传感器', 'RaspberryPi', 'Django']"
基于最近发展区的个性化练习系统设计与实现,"['最近发展区', '个性化', '练习系统']"
智能审核系统的设计与实现,"['智能审核', '安卓', '音视频处理', 'RTMP', 'GRPC']"
基于数据挖掘的大气环境预测系统研究,"['大气环境预测', '数据挖掘', 'ARMA模型', '支持向量回归']"
船舶油耗监测系统及其工程应用研究,"['油耗监测', '物联网', 'Django web', '人工神经网络']"
基于移动互联网的智慧运维应用,"['运维系统', 'REST API', '数据库', '网站监控', 'Django', '微信小程序', 'Python']"
基于巴克豪森噪声的在线硬度检测系统设计与实现,"['无损检测', '巴克豪森信号', 'Django框架', 'GBDT算法', '特征选择']"
基于深度学习的实验室人数统计与管理系统,"['实验室', '视频监控', '深度学习', '人头检测模型', '管理系统']"
基于BiLSTMCRF的医学影像报告结构化系统设计与实现,"['乳腺钼靶影像报告', 'Bi-LSTM+CRF', '文本特征', '结构化映射']"
基于分类算法的企业大米指纹图谱数据平台的设计与实现,"['大米', '产地确证', '指纹图谱', '分类算法', '数据平台']"
基于机器学习的司法案例筛选系统设计与实现,"['文本分类', '案例筛选', 'TF-IDF算法', 'fastText框架']"
决策树算法在山区公路地质灾害风险评估系统中的应用,"['山区公路', '地质灾害', '风险评估', '决策树', '分类规则']"
