标题,关键字
基于BTT框架的电子银行资金池业务的研究,"['BTT框架', '电子银行', '资金池', '开发模型']"
高职院校人才培养工作状态数据采集平台分析与研究,"['高职院校', '人才培养', '数据采集', '数据平台', '高校评估']"
轻量级J2EE中整合StrutsSpringHibenate的研究与分析,"['J2EE', '表现层', '业务逻辑层', '持久层', '整合框架', 'Struts', 'Spring', 'Hibernate']"
基于轻量级Java EE架构电子商务模拟平台的设计与实现,"['轻量级', 'Java EE', '电子商务模拟平台', 'Spring', 'Hibernate', 'Struts2']"
基于Spring框架的饮料公司进销存系统的设计与实现,"['Java EE', '进销存系统', 'Spring框架', '饮料公司']"
基于SSH高校仪器设备共享管理平台的研究与设计,"['Struts', 'Hibernate', 'Spring', 'MVC', '仪器设备管理']"
Struts2Spring和Hibernate框架技术分析,"['Struts2框架', 'Spring框架', 'Hibernate框架']"
基于Web的企业生产文档管理系统的设计与实现,"['电子文档', '管理系统', 'MVC', 'B/S', 'SQL Server']"
基于SSH框架的旅游管理系统设计与实现,"['旅游管理系统', 'SSH框架', 'Struts', 'Spring', 'Hibernate']"
Spring框架技术分析及应用研究,"['Java平台企业版', 'Spring框架', '控制反转', '依赖注入', '面向切面编程']"
市委宣传部固定资产管理系统的设计与实现,"['固定资产管理', 'Java EE', '流程控制']"
电视台固定资产管理系统设计与实现,"['固定资产管理', '状态跟踪', 'Spring']"
证券交易管理系统的设计与实现,"['证券交易', '信息系统', 'ASPJ2EE']"
销售线索管理软件系统设计与实现,"['保险', '销售线索', 'B/S', 'J2EE']"
气象机构灾情信息管理系统的研究与设计,"['气象机构灾情信息', 'B/S架构', 'JSP', 'Spring框架']"
基于SSH2框架的制造型企业OA系统设计与实现,"['Struts2', 'Spring', 'Hibernate', '办公自动化', '制造型企业']"
ERP模拟信息系统的设计与实现,"['ERP系统', '管理信息系统', '计算机仿真', '人员培训']"
现代物流运输管理系统的设计与实现,"['物流运输', '开源框架', '用户界面开发包', '关系映射框架', '控制反转']"
基于Spring和JavaBean组件的现场总线虚拟实验平台研究,"['Spring框架', '现场总线', '虚拟实验', 'JavaBean组件']"
分布式异构数据库智能集成研究,['nan']
一个基于ExtJS技术的污水管理信息平台的设计与实现,"['污水管理', 'Ext-JS', '数据同步模型', 'Spring框架', 'Hibernate框架']"
基于S2SH框架和Ajax的调查宝在线投票系统的设计与实现,"['S2SH', '调查宝在线投票', 'Ajax']"
承德市区道路机动车管理系统的设计与实现,"['道路交通', '机动车', '交通管理系统']"
油品运输车辆跟踪管理系统设计与实现,"['面向对象', '车辆管理', 'Struts2', 'Spring', 'Hibernate']"
基于J2EE的电子公文交换系统的设计与研究,"['公文交换', '事务通知', '安全性设计', 'SSH框架']"
基于SSH技术的中学学生成绩信息管理系统的设计与实现,"['学生成绩管理', 'SSH框架', 'B/S模式', 'J2EE平台']"
阿坝师专羌族民间舞蹈网上课程管理系统的设计与实现,"['课程', '网上教育', '分层结构']"
达内集团OA协同办公系统设计与实现,"['J2EE应用框架', 'Spring框架', 'Hibernate框架', 'Struts2框架']"
基于信息管理的环保数字平台研究初探,"['SSH', '模块', '框架', '环保数字平台管理', 'Gis地理信息']"
基于SSH框架的考试系统设计与实现,"['考试系统', 'Struts', 'Spring', 'Hibernate']"
基于Spring框架的库存管理系统的设计与实现,"['库存管理系统', 'Spring框架', 'EJB技术', '可裁剪性', '可重用性']"
基于SSH的无仓储物流管理平台的设计与实现,"['物流', '平台', 'Struts', 'Spring', 'Hibernate']"
淄矿物资供应超市的设计与实现,"['煤炭企业信息化', '物资管理', '物资管理信息系统', '供应链']"
离港旅客行李自助服务系统的设计与实现,"['民航', '行李托运', '自助服务', '信息系统', 'JavaOSGi']"
基于银行结售汇核查系统的SSH架构开发研究,['nan']
寿光市纪委信访管理系统的设计与实现,"['信访', 'J2EE', 'S2SH', '智能决策系统', 'BP神经网络']"
基于开源设计模式的客户管理系统的设计与实现,"['体系结构', '设计模式', '移动客户关系管理', '个人数字助理']"
呼叫中心业务管理系统的设计与实现,"['呼叫中心', 'Spring框架', 'Asterisk技术', '坐席排队算法']"
基于SSH2架构的分布式多智能体风电场监测系统,"['风电场', '多智能体', '状态监测', 'SSH2架构', 'Java Web']"
基于SSH框架的网上订餐系统的设计与实现,"['网络订餐', '电子商务', '数据库', 'SSH框架']"
基于J2EE的零售系统的设计与实现,"['电子商务', '行政区域', '零售系统', '特价销售信息']"
基于Spring框架的数据集成与转换研究,"['数据库', '数据集成', '数据转换', 'Spring框架', 'Java语言']"
企业信用管理系统的安全模块和信用审批模块的设计与实现,"['企业信用管理', 'MVC模式', 'Spring框架', '内存数据库']"
基于WEB的计算机软件开发与应用,"['SSH', '模块', '框架', 'WEB平台', '软件开发']"
中山市看守所警务资讯短信通管理系统的设计与实现,"['警务资讯', '短信', '渠道', '增值业务']"
基于数据仓库的EMC2资源管理系统设计与实现,"['资源管理', '数据仓库', 'ETL', 'Spring框架', 'Hibernate框架', 'RIA']"
基于J2EE的民机维修网络系统的设计,"['J2EE', '民机维修', '网络信息系统']"
JavaEE框架技术研究及其在OAO电子商务模式中的实现,"['OAO电子商务模式', '框架技术', 'Struts2', 'Spring', 'Hibernate']"
汛情旱情监测预报管理系统设计与实现,"['信息管理系统', 'Spring MVC', '汛情旱情', '监测预报']"
基于SSH框架的智能社区信息管理系统的设计与实现,"['智能社区', 'SSH框架', '信息管理']"
电子政务应急管理系统的设计与实现,"['应急管理系统', '开发应用', 'B/S结构', 'SSH框架']"
基于SSH的高职院校自主招生系统的设计与实现,"['SSH', '自主招生系统', '信息管理系统']"
全员人口信息服务平台的设计与实现,"['人口信息系统', 'J2EE', 'GIS', '社区管理']"
生物信息工作流构建技术的研究与应用,"['生物信息工作流', 'IOC/AOP', 'web service', 'soap报文', 'JDM']"
司法拍卖系统的设计与实现,"['司法拍卖系统', 'Spring框架', 'Struts框架', 'jQuery框架']"
P2P借贷系统的交易模块的设计与实现,"['P2P网络借贷', 'MVC模式', 'Struts框架', 'Spring框架', 'IBatis框架']"
基于SSH框架的煤炭运销管理系统的设计与实现,"['煤炭运销', 'J2EE平台', 'SQL Server2008数据库', 'SSH框架']"
地学文化管理系统的设计与开发,"['SSH2', '地学文化', '地质学史', '精品展示', '地学科普']"
基于SSH2的人民银行在线业务竞赛系统的设计与实现,"['竞赛系统', 'SSH2', 'Struts2', 'Spring', 'Hibernate']"
基于J2EE框架的Web应用可靠性研究,"['Java2平台企业版', 'Spring框架', 'iBATIS框架', 'IoC设计模式', '可靠性']"
基于多层架构的个人信息空间管理系统的研究,"['个人信息管理', '信息空间', 'Struts框架', 'Spring框架', 'Hibernate框架']"
科技项目管理系统快速开发框架研究,"['项目管理系统', '重复开发', '领域对象', '快速开发框架', '个性化配置']"
SSH2框架在地方病防治统计年报系统中的应用,"['SSH2框架', '三层架构', '地方病防治', '统计年报']"
企业退休人员社会化管理信息系统的设计与实现,"['退休人员', '社会化管理', 'Spring框架']"
基于TSI框架的CRM系统的研究与实现,"['CRM', 'Tapestry', 'Spring', 'Ibatis', 'TSI', '框架', '轻量级']"
基于MVC模式的Web框架的应用研究,"['Web应用', 'J2EE', 'MVC', 'Spring框架', 'Hibernate框架']"
网上购书系统的设计与实现,"['电子商务', 'JavaEE平台', '网上购书系统', 'MVC']"
基于SSH的客户关系管理系统的设计与实现,"['客户关系管理', 'SSH', 'ExtJS', 'MVC']"
基于J2EE和ExtJS的人力资源外包服务平台的设计与实现,"['人力资源外包服务', 'ExtJS', 'J2EE', 'SpringMVC', '工作流技术']"
基于Java EE框架和Web Service的承运商信息系统的设计与实现,"['ICEfaces', 'Java EE', 'Web Service', 'Spring', '遗留系统']"
华一银行信贷管理系统设计与实现,"['信贷管理', '信贷风险', '流程管控']"
基于社交网络的广告管理系统的设计与实现,"['社交广告', '管理系统', 'Spring框架']"
基于J2EE的江宁区二手房网络交易平台构建,"['二手房', '网络交易', 'JSF-Spring-Hibernate']"
基于J2EE的宁波某第三方物流公司管理系统的设计与实现,"['第三方物流', 'J2EE', 'SSH架构']"
高校教学评估系统设计与实现,"['教学评估系统', 'B/S架构', '教学质量', 'SSH']"
高校薪酬管理系统的设计与实现,"['高校薪酬', '计税', 'SSH']"
基于JSP的网上购物系统研究与设计,"['jsp', 'ssh2', '手机版', 'sq1注入']"
百业联盟网站设计与实现,"['电子商务', '商业网站', '信息系统', 'B/S结构']"
研究所设备管理系统的设计与实现,"['SSH框架', 'Spring Security安全框架', '认证', '权限管理', '设备管理']"
基于社团划分的电子邮件网络分析系统的设计与实现,"['社团划分', '复杂网络', '电子邮件', '模块度', '关系分析']"
基于Struts的志愿服务管理系统的设计与实现,"['Struts框架', '志愿者服务', '管理系统']"
基于J2EE的海量数据虚拟存储管理平台的设计与实现,"['J2EE', 'MVC', 'SSH', '海量数据存储']"
高校学生信息综合管理系统开发实践,"['信息管理系统', '权限管理', 'SSH框架']"
基于JAVA的教师科研业绩评价系统的设计与实现,"['JAVA', 'SSH', 'MVC', '科研业绩评价系统']"
基于J2EE的上海工程技术大学学生工作管理系统,"['学生工作', '管理信息系统', 'J2EE']"
基于SSH的高校院系教学质量监控与信息反馈系统,"['JavaEE', 'Struts', 'Spring', 'Hibernate', '教学质量监控']"
上海地铁伤损管理监测信息化系统设计与实现,"['面向对象分析', '面向对象设计', 'Struts2', 'Spring', 'Hibernate']"
浅析多媒体技术在计算机软件中的应用,"['SSH', '模块', '框架', '计算机软件管理', '多媒体信息']"
基于SSH2Log4J的钢厂材料管理系统的设计,"['Struts2', 'Spring', 'Hibernate', 'Log4j', '材料管理系统']"
基于Spring的REST式Web服务研究与应用,"['Web服务', 'REST', '面向资源的架构', 'Spring框架']"
基于文本挖掘的领域信息聚类分析,"['文本基底挖掘', '自适应稀疏度', '分层表征', '专利地图']"
REST基于MVRC模式下的在线网络相册研究,"['网络相册', '表征性状态转换', 'ExtJs', '统一接口', '一站式']"
基于J2EE的药品管理系统设计,"['药品管理', 'Spring框架', '系统设计']"
基于SSH框架的电工电子网络虚拟实验室教学信息管理Web平台设计与研究,"['远程实验', '电工电子', '虚拟', '网络实验室', 'SSH', '信息管理系统']"
基于Spring框架的社区人口管理系统研究,"['网络通信', '电子政务', 'HTTP', 'TCP/IP']"
基于J2EE的移民信息管理系统的设计与实现,"['水利信息化', '移民信息管理', '信息安全', '自定义配置']"
基于Red5流媒体服务系统的设计与实现,"['Red5流媒体服务器', '带宽检测', 'Red5集群', 'SSH框架']"
远程教育云计费模型设计与实现,"['远程教育', '云平台', '计费模型']"
分支网点智能管理系统的设计与实现,"['分支网点智能管理系统', '框架技术', '分层', '松耦合']"
面向监狱管理的监管日报系统的设计与实现,"['监狱管理', 'MVC模式', 'SSH框架', '报表系统']"
基于测试管理系统SCTM的报表子系统,"['Spring', 'JavaServer Faces', 'iBatis', 'SilkCentral Test Manager', '测试报表子系统']"
Spring框架事务处理技术研究,"['Spring', 'JEE', '事务处理', '事务回滚']"
Spring框架对数据持久化的支持与实现,"['ORM技术', '数据持久化', 'Spring框架', '控制反转', 'POJO映射']"
Spring MVC设计中的IoC控制,"['MVC架构设计', 'Spring框架', '控制反转', 'IoC容器', '解耦']"
基于Spring框架的Web系统的研究与应用,"['Spring', 'Web系统', 'J2EE']"
Spring安全框架在信息系统中的应用研究,"['Spring Security', '信息安全', '访问授权']"
基于CS架构的模块化移动机器人控制软件模型的设计与实现,"['C/S架构', '组件', '软件平台', 'Spring框架', '移动机器人']"
基于Spring框架面向多业务Web平台开发框架研究,"['Spring容器', '注册', 'ApplicationContext', 'Json']"
科技项目管理系统快速开发框架研究与设计,"['领域工程', '科技项目', '过程管理', '快速开发框架', '重复建设']"
基于BPR的铁路货场管理信息系统设计与实现,"['铁路货场', '管理信息系统', '业务流程再造（BPR）', 'Spring框架']"
社交网站同城同趣系统的设计与实现,"['J2EE', 'Struts', 'Spring', '框架', '六度分割']"
基于J2EE的高校工作量统计系统的设计与实现,"['高校工作量统计', 'J2EE', 'Struts', 'Spring', 'Hibernate']"
基于S2SH的仓库在线盘点管理平台的设计与实现,"['MIS', 'MVC', 'Struts2+Hibernate+Spring', '在线盘点']"
基于SSH框架的钢铁现货电子交易平台的设计与实现,"['钢铁企业', '电子交易平台', 'Struts', 'Hibernate', 'Spring']"
基于BS模式的高中教师信息管理系统的设计与实现,"['教师信息管理', 'SSH框架', '框架技术', '系统分层设计']"
JAVA轻量级框架整合技术研究,"['JAVA', '轻量级架构', 'SSH', '整合']"
基于Spring框架的物流管理系统设计与开发,"['Spring框架', '物流管理系统', '.NET平台', 'MVC模式', 'B/S架构']"
基于SSH2框架和AJAX的健康危险度评估系统构建,"['轻量级Java EE', 'Struts2', 'Hibernate', 'Spring', 'AJAX', '健康危险度评估']"
基于SSH框架技术下的WEB项目的研究与实现,"['SSH', '框架技术', '事务处理']"
基于SSH框架的题库系统设计与实现,"['题库系统', 'Spring', 'Struts', 'Hibernate', '自动组卷']"
基于JavaEE的健康管理系统的设计与实现,"['JavaEE', 'Struts', 'Spring', 'Hibernate', '健康管理']"
基于J2EE技术开发高校BBS论坛,"['BBS', 'J2EE', 'Struts', 'Spring', 'Hibernate']"
高校助学管理系统的研究与实现,"['助学管理系统', 'MVC模式', 'SSH框架']"
基于strutsspring框架实验室信息系统的开发与实现,"['struts+spring架构', 'MySQL', '高校实验室']"
基于J2EE的茂名市政协提案管理系统的设计与实现,"['电子政务', 'J2EE', '政协提案管理系统']"
SSH框架在云制造服务平台开发中的应用,"['SSH', '云制造', 'MVC', '持久层']"
广东食品药品职业学院教师系统采集系统的设计与实现,"['Extjs', 'MVC', '数据采集']"
基于Spring框架的煤炭企业物资管理系统的分析与设计,"['J2EE平台', '分布式设计', '物资管理', '煤炭企业']"
基于校园网平台教务管理系统实现的理论性研究,"['校园网', '教务管理系统', '设计与实现']"
基于MVC的医院信息管理系统设计与开发,"['医院信息系统', 'MVC模式', 'Spring框架', 'Hibernate机制']"
基于SSI2的企业信息管理系统的设计与实现,"['企业信息管理系统', 'MVC设计模式', '框架技术', 'SSI2整合框架']"
基于SSH框架的人力资源系统的设计与测试,"['人力资源管理', 'SSH框架', 'SQLServer2000数据库']"
四川电力建设公司人力资源业务管理平台的设计与实现,"['SSH框架', '人力资源管理', 'Web应用程序']"
中山学院继续教育教务管理信息系统的设计与实现,"['继续教育', '教务管理', '设计和实现', '测试']"
基于轻量级Web的辽河油田物资管理系统设计与实现,"['轻量级', 'J2EE', 'Spring', 'EJB', '控制反转', '依赖注入', '面向方面编程']"
基于J2EE架构的考试管理系统设计与实现,"['考试管理系统', 'J2EE', '基于遗传的组卷算法']"
重庆市万盛区机关人事工资管理系统的设计与实现,"['工资管理', '信息系统', 'J2EE', 'B/S结构']"
基于SSI的网络兼职发布与互动平台的设计与实现,"['网络兼职平台', 'JAVA EE', '互动平台', 'SSI']"
基于J2EE的招聘求职系统设计与实现,"['求职招聘', 'J2EE', 'SSH', 'MVC', '信息管理系统']"
通信监理企业项目管理系统的研究与开发,"['通信监理', '项目管理系统', '面向对象', 'UML建模', 'SSH框架']"
基于SSH的教务管理系统的设计与实现,"['教务管理', 'Java平台', 'MVC模型', 'SSH框架']"
基于J2EE的Web信息系统开发方法的定义,"['J2EE', 'web开发', '框架', 'Spring']"
基于J2EE的高校固定资产管理系统设计与实现,"['固定资产管理', 'Spring框架', 'Struts框架', 'Spring JD BC']"
某企业网站群管理系统的分析与设计,"['企业信息化', 'Spring', 'Hibernate', 'Maven', 'FreeMarker']"
基于spring框架的单点登录的设计与实现,"['spring', 'CAS', '配置', '认证', '单点登录']"
一个基于RBAC的权限管理系统的设计和实现,"['MVC', '角色权限管理', 'J2EE', 'Struts2+Hibernate+Spring框架', 'dhtmlxtree']"
基于J2EE技术的进销存系统设计,"['进销存', '贸易', '库存', 'J2EE', 'SQL Server']"
基于JBPM的煤炭企业销售管理系统的研究与实现,"['煤炭销售管理系统', '工作流技术', 'JBPM', 'MVC', 'OLAP']"
SSH整合框架的研究与应用,"['SSH整合框架', 'Hibernate', 'Struts', 'Spring', '科研项目管理系统']"
基于JavaEE技术的在线考试系统的设计与实现,"['在线考试系统', '组卷算法', 'JavaEE', 'Spring框架']"
数字媒体内容管理平台设计与实现,"['数字媒体', '内容管理', '数字资源', 'Spring框架']"
基于异步处理框架的在线客服交流平台研究与实现,"['J2EE', 'Hibernate', 'Spring', 'Ajax', 'DWR']"
高校固定资产管理系统的设计与实现,"['高校固定资产管理', 'J2EE', 'Struts2', 'Spring框架']"
基于J2EE的汽车零部件信息发布平台,"['J2EE', 'Struts', 'Spring', 'Hibernate', '框架']"
基于SSH框架的学生社团管理系统的设计与实现,"['Struts', 'Hibernate', 'Spring', '社团管理']"
Java Web程序运用中泛型DAO的作用,"['Java Web程序', '泛型DAO模式', '数据持久层', 'Struts框架', 'Spring框架']"
电子商务网站营销活动管理审核系统的设计与实现,"['电子商务', '审核', 'Spring', 'Hibernate']"
网络题库管理系统的设计与实现,"['题库管理系统', 'SSH(Struts2+Spring+Hibernate)', 'DAO', 'UML']"
开放式软件平台下大规模电力系统仿真研究,"['电力系统仿真', '软件平台', 'InterPSS', '云计算', '多核并行计算']"
计算机取证管理系统的研究,"['计算机取证', 'J2EE', 'SQL', '管理系统']"
基于JavaEE轻量级架构的安全电子拍卖系统设计,"['JavaEE', '轻量级架构', 'Struts2', 'Spring', 'Hibernate', '安全', '电子拍卖']"
关于规范卵巢上皮癌初始治疗的计算机智能诊治系统的研究,"['卵巢上皮癌', '卵巢癌', '集中化治疗', '预后', '规范治疗', 'Struts', 'Spring', 'Hibernate']"
基于Spring的警务综合系统应用研究,"['警务系统', 'Spring', '控制反转', '情报研判']"
高精度航空物探调查计划项目管理系统,"['管理系统', 'SSH', 'B/S', 'MVC', '数据同步']"
中小型企业电子商务网站开发及安全实现,"['电子商务', 'J2EE', 'Struts框架', 'Spring框架', 'IBatis框架']"
广告企业办公自动化管理系统的设计与实现,"['广告企业', '办公自动化管理', '快信功能', '广告演示模块']"
新版移动业务管理子系统NSMS的设计与实现,"['NSMS', '流程框架', 'Spring', '重构']"
基于SSH2的一站式政府门户网站的应用研究,"['Struts2', 'Spring', 'Hibernate', 'SSH2']"
基于J2EE架构的专家库系统的设计与实现,"['Spring', 'J2EE', 'IoC', '面向方向', '动态调用']"
基于jBPM的某金融企业工作流系统的设计与实现,"['工作流', 'Struts2框架', 'Spring框架', 'Hibernate框架', 'jBPM引擎']"
异构数据协议集成软件系统设计与开发,"['异构数据协议', '数据集成', '数据通信系统', 'Mina']"
基于XACML的EPCIS访问控制机制研究与实现,"['无线射频识别', '可扩展访问控制标记语言', '访问控制', 'EPC信息服务', '安全性断言标记语言']"
基于JAVA EE轻量级框架的课程教学管理平台的设计与实现,"['课程教学管理系统', 'SSH组合框架', 'JAVA EE轻量级框架', 'Web应用四层结构', '教学信息化']"
潍坊烟草成本预算核算管理系统的设计与实现,"['成本预算核算', 'Struts框架', 'Hibernate框架', 'Spring框架']"
地纬公司员工工作管理系统的设计与实现,"['员工工作管理', 'RIA', 'Flex', 'Cairgorm', 'Spring']"
寿险销售渠道管理系统的设计与实现,"['Spring MVC', '销售渠道', '控制反转', '数据库没计']"
Spring集成Acegi安全框架在J2EE中的应用,"['Spring', 'Acegi', 'IoC', 'AOP']"
基于J2EE的电子公文传输系统设计与实现,"['J2EE架构', 'B/S模式', '电子公文', '信息安全']"
基于MVC模式的水利服务平台系统的设计与实现,"['Web应用系统', 'Spring框架', 'MVC', 'ANT部署', 'Java多线程']"
基于SSH2AJAX架构的在线招聘求职系统设计与实现,"['Struts2', 'Hibernate', 'Spring', 'Ajax', '在线招聘系统']"
JAVA中一类随机数生成方法设计思想,"['随机化', '标准模板库', 'spring框架']"
基于JAVAEE的群体监控平台的设计与实现,"['JAVAEE', '群体监控', 'MVC', 'GPS全球定位系统', '面向对象']"
面向J2EE主流框架的MDA模型转换,"['MDA', 'J2EE主流框架', '模型转换', '元模型']"
基于SSH的实习生管理系统的研究与设计,"['Struts框架', 'Spring框架', 'Hibernate框架', '实习生管理系统']"
基于StrutsSpringHibernate技术的关于规范卵巢上皮癌初始治疗的计算机智能诊治系统,"['卵巢上皮癌', '卵巢恶性肿瘤', 'Struts', 'Spring', 'Hibernate']"
基于SSH的消防信息系统的设计与实现,"['SSH', '消防', '信息系统', 'MVC']"
基于Spring和JDBC的蔬菜运销管理系统在数据持久层的应用,"['蔬菜运销管理系统', 'Spring框架', 'jdbc框架', 'DAO模式', 'Jdbc模板']"
高校科研管理系统的设计与实现,"['科研管理', 'MVC', 'SSH2', 'Struts', '2+Spring+Hibernate']"
高校党校网络教育管理系统的设计与实现,"['web服务', '网络教育管理', 'EJB技术', '逻辑结构']"
基于J2EE架构MVC模式的办公自动化系统的设计与实现,"['办公自动化', 'MVC', '公文管理']"
基于FCSAN的图形文件存储管理系统,"['图形文件', '网络存储系统', 'FC-SAN', 'Spring框架', 'jBPM工作流']"
浙江地税标准化稽查查账软件的开发,"['地税稽查', '浏览器/服务器模式', 'JavaEE', '模型-视图-控制器']"
基于SSH框架的人力资源管理系统的设计与实现,"['人力资源管理系统', 'Struts2', 'Spring', 'Hibernate']"
基于Java EE的高速公路收费管理系统的设计与实现,"['Struts2', 'Spring', 'Hibernate', 'QuieeReport', '报表']"
基于J2EE的移动存储设备电子文件安全管理系统的设计与实现,"['移动存储设备', '电子文件安全管理', '身份认证', '访问控制', 'J2EE', 'Spring', 'Struts2', 'Hibernate', 'Mina']"
泛型DAO模式在Java Web开发中的应用,"['泛型DAO', 'JPA框架', 'Spring框架', 'Struts框架']"
基于SSH框架技术的企业综合管理系统的设计与实现,"['Struts技术', 'Hibernate技术', 'Spring技术']"
银行业企业级J2EE应用开发平台设计与实现,"['企业级', 'J2EE', '应用框架', '开发平台']"
基于J2EE的制造执行系统可重构性的研究,"['可重构', '制造执行系统', 'MVC', 'SSH2', 'AOP']"
基于SSH2架构的Web办公系统,"['SSH2', 'Struts2', 'Hibernate', 'Spring', '办公系统']"
健身监测评价系统的设计与实现,"['健身监测', '模块化', '层次化', '健身系统']"
基于优化视频资源采集系统的教学资源共享平台设计,"['资源共享', '视频采集', '教学资源', '教学资源共享平台', 'DSP']"
基于SSH架构体系的电子拍卖系统的设计与实现,"['在线电子拍卖', 'Struts2框架', 'Spring框架', 'Hibernate框架']"
基于BS结构的集中计量查询系统,"['B/S', 'Spring框架', '查询系统', '集中计量系统']"
J2EE软件开发框架技术探讨,"['J2EE', '框架', 'Struts框架', 'Hibernate框架', 'Spring框架']"
基于J2EE的数据发布系统设计与实现,"['数据发布Flex', 'Spring框架', 'Hibernate框架']"
基于SSH2的辽宁广播电视台手机网站的研究与实现,"['SSH2', 'Struts2', 'Spring', 'Hibernate', 'WAP网站']"
基于Struts Spring Hibernate的OA系统的研究与开发,"['框架', 'Struts', 'Hibernate', 'Spring', '0A系统']"
高校OA系统的公文管理模块的设计和实现,"['办公自动化', '工作流', '公文管理', 'JBPM']"
基于J2EE平台的高校辅导员信息系统的设计与实现,"['交流平台', '信息管理', 'J2EE', '数据库']"
一种基于Spring的BS框架设计与实现,"['Spring框架', 'Hibernate框架', '管理信息系统']"
基于AjaxStrutsHibernate和Spring的J2EE架构,"['Ajax', 'Struts', 'Hibernate', 'Spring', 'MVC', 'J2EE']"
基于REST架构的通用企业地址簿的设计与实现,"['REST', '企业地址簿', '开放API', '统一认证']"
JAVA泛型排序算法设计思想,"['java泛型排序', '局部排序', 'spring框架']"
基于J2EE的远程职业培训系统设计与实现,"['J2EE', 'MVC', 'UML', '远程职业培训系统']"
基于MVC模式的分页组件应用,"['分页组件', '模型-视图-控制器模式', 'Struts2框架', 'Spring框架', 'Java持久化API']"
基于J2EE的教务管理信息系统的设计与实现,"['教务管理信息系统', 'J2EE', '框架', 'B/S', '设计模式']"
基于spring框架的医疗保险管理信息系统的设计与实现,"['Spring', 'MVC', '医疗保险', '电子政务']"
Spring框架的关键技术在生产管理系统中的设计与应用,"['Spring', 'AOP', '面向切面编程', '依赖注入的思想']"
学校人力资源管理系统的设计与研究,"['人力资源管理系统', 'J2EE', 'SSH框架']"
基于FMS的校园即时通讯系统设计与实现,"['即时通讯', 'FMS', 'Flex', 'J2EE']"
基于J2EE下的影院会员系统的开发,"['SSH', 'MVC模式', 'JXL', '影院会员系统']"
基于SSH的高技能人才培训考试平台实现,"['SSH', '在线考试', 'J2EE', 'Struts2']"
基于J2EE的电子票务系统的设计与实现,"['二维码', '电子票务', 'J2EE', 'T-CODE码']"
基于SSH2框架的江西建行内部OA系统的设计与实现,"['Struts2', 'Spring', 'Hibernate', '江西建行', 'OA']"
基于BS构架的企业员工培训系统的设计与实现,"['企业培训', '培训管理系统', 'B/S架构', 'MVC模式', 'J2EE']"
基于SSH架构的实训教学质量监控与评价系统设计与实现,"['SSH框架', '实训教学', 'Struts2', 'Hibernate3.2', 'Spring2.5']"
多业务系统订单融合支付平台分析与设计,"['电子支付', '多业务系统', '订单融合支付']"
基于HibernateSpring框架下物业管理系统的设计与实现,"['Spring Hibernate Servlet', '物业管理系统']"
电子文件档案化的设计与实现,"['管理', '开发设计', '电子档案管理系统', 'Web服务']"
网络化少数民族古籍管理平台的设计与实现,"['信息化', '文献保护', 'J2EE', '数据库']"
基于SSH的档案管理系统的设计与实现,"['档案管理系统', 'Struts+Spring+Hibernate框架', 'MVC模式', 'Java平台']"
基于Web 20的Flex智能化网络信息系统的设计与实现,"['Web 2.0', 'Flex', 'Java', 'Spring', 'Hibernate']"
通利电子家电连锁信息管理系统的设计与实现,"['家电连锁', '工作流', 'java', 'Spring框架', '四层架构']"
基于开源框架ICMS系统设计与实现,"['I-CMS', 'spring', 'ibatis', 'dwr', 'extJS']"
乌石化公司大型旋转设备在线监测系统的设计与实现,"['设备在线监测系统', '设备管理', '设备监测', 'J2EE']"
基于StrutsSpring和Hibernate的J2EE框架整合方法探讨,"['J2EE', 'Struts', 'Spring', 'Hibernate', '整合架构']"
基于S2SH的在线项目管理平台的设计与实现,"['统一建模语言', 'MVC', 'Struts2+Hibernate+Spring', '在线项目管理平台']"
突发事件应急管理调度平台的设计,"['Spring框架', 'Hibernate数据持久化框架', '应急管理调度平台', '热点地图', '动态监控']"
基于HibernateSpring框架下物业管理系统的设计与实现,"['Spring HibernateServlet', '物业管理系统']"
基于轻量级开源框架的科研论文管理系统设计与实现,"['MVC', '科研论文管理系统', 'Struts', 'Spring', 'Hibernate']"
开源技术ExtDWRSpringHibernate的应用研究,"['Web应用框架', '开源技术', '解决方案']"
基于GIS的地震科学数据共享平台的设计与实现,"['地震科学信息共享平台', '地理信息系统', 'ArcGIS']"
基于J2EE的炼焦设备EAM系统的设计与实现,"['炼焦设备', 'EAM', '设计与实现', 'J2EE']"
基于BS模式的异构数据集成的研究与实现,"['异构数据库', 'B/S模式', 'SSH', '语法解析器', '全局数据字典']"
基于J2EE的零售业管理信息系统的设计与实现,"['零售业管理信息系统', '移动通信技术', '小区短信', 'ERP']"
基于J2EE的框架技术研究与应用,"['Struts', 'Spring', 'Hibernate', '框架']"
基于Spring框架的农业网站信息资源采集器设计与实现,"['网站', 'Spring', 'Hibernate', 'HtmlParser', '农业信息', '信息抽取']"
在JAVA中创建对象,"['面向对象', '模式', 'Spring']"
无纸化考试系统中StrutsSpringHibernate框架整合的分析与研究,"['J2EE', 'Struts', 'Spring', 'Hibernate', 'MVC', '表现层', '业务逻辑层', '持久层']"
基于Flex技术的英语听力考试系统的设计与实现,"['英语听力', 'Spring', 'Hibernate', 'Flex']"
煤矿煤质管理系统的设计与实现,"['煤质管理', 'MVC', 'Spring', 'DAO模式']"
